Name,Domain,Language,Modality,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Empty leaderboards by category,%Empty leaderboard rate,#Submission,#Model,#Scenario,#Benchmark,#metrics,Last update,Evalution harness
MATH401,language,English,text,yes,no,no,no,no,2,0,0,49,,14,1,3,4//2023,
LaMDA,language,English,text,no,no,yes,no,no,1,0,0,33,33,1,1,2,today,
StereoSet,language,English,text,no,no,yes,no,no,1,0,0,11,11,1,1,3,today,
CrowS-Pairs,language,English,text,no,no,yes,no,no,1,0,0,4,4,9,1,1,today,
HalluQA,language,English,text,yes,no,no,no,no,1,0,0,19,19,3,1,1,today,
UHGEval,language,English,text,yes,no,no,no,no,3,0,0,33,11,7,1,14,today,
MM-Vet,language+visual,English,text+image,no,yes,yes,no,no,1,0,0,36,36,1,1,1,today,
MMMU,language+visual,English,text+image,yes,yes,no,no,no,2,0,0,34,15,6,1,1,11//2023,
Video-Bench,language+visual,English,text+video,no,yes,no,no,no,1,0,0,10,8,3,13,1,12//2023,
ActivityNet-QA,language+visual,English,text+video,no,no,yes,no,no,2,0,0,29,,1,1,1,today,
MSVD-QA,language+visual,English,text+video,no,no,yes,no,no,4,0,0,44,,1,1,2,today,
MSRVTT-QA,language+visual,English,text+video,no,no,yes,no,no,2,0,0,44,,1,1,2,today,
TGIF-QA,language+visual,English,text+video,no,no,yes,no,no,2,0,0,20,19,1,1,2,today,
YouCook2,language+visual,English,text+video,no,no,yes,no,no,2,0,0,25,,2,1,10,today,
TV-QA,language+visual,English,text+video,no,no,yes,no,no,1,0,0,6,6,1,1,1,today,
MVBench,language+visual,English,text+video,yes,no,no,no,no,21,0,0,235,14,20,,1,today,
STAR,language+visual,English,text+video,no,no,yes,no,yes,2,0,0,25,25,4,1,1,today,
MiT,language+visual,English,text+video,no,no,yes,no,yes,1,0,0,29,29,1,1,2,today,
FacTool,language,English,text,yes,no,no,no,no,1,0,0,5,5,4,5,2,today,
FActScore,language,English,text,yes,no,no,no,no,1,0,0,12,12,4,1,4,today,
CRASS,language,English,text,no,no,yes,no,no,1,0,0,4,4,1,1,1,today,
BEIR,language,English,text,no,no,yes,no,no,19,0,0,125,,9,18,5,today,
TREC-COVID,language,English,text,no,no,yes,no,no,1,0,0,6,6,1,1,1,today,
BioASQ-QA,language,English,text,no,no,yes,no,no,1,0,0,6,6,1,1,1,today,
CQADupStack,language,English,text,no,no,yes,no,no,1,0,0,2,2,1,1,1,today,
Robust04,language,English,text,no,no,yes,no,no,1,0,0,21,21,1,1,3,today,
QQP,language,English,text,no,no,yes,no,no,1,0,0,19,19,1,1,1,today,
PromptBench,language,English,text,yes,no,no,no,no,7,0,0,32,6,3,13,1,today,
CoLA,language,English,text,no,no,yes,no,no,2,0,0,38,38,1,1,2,today,
MRPC,language,English,text,no,no,yes,no,no,1,0,0,2,2,1,1,1,today,
QNLI,language,English,text,no,no,yes,no,no,2,0,0,38,38,1,1,1,today,
WNLI,language,English,text,no,no,yes,no,no,2,0,0,16,16,1,1,1,today,
L-Eval,language,English,text,yes,no,no,no,no,5,0,0,55,11,5,20,5,11//2023,
QuALITY,language,English,text,yes,no,no,no,no,1,0,0,14,13,2,1,2,11//2023,
LMExamQA,language,English,text,no,no,no,no,yes,1027,0,0,8032,8,1006,1,5,11//2023,
PubMedQA,language,English,text,yes,no,yes,no,no,2,0,0,45,,1,1,2,today,
FinanceIQ,language,English,text,yes,no,no,no,no,2,0,0,34,17,10,1,1,11//2023,
CLUE,language,English,text,no,no,yes,no,no,5,0,0,10,2,11,12,3,today,
CMRC2018,language,English,text,no,no,yes,no,no,3,0,0,3,1,1,1,1,today,
DRCD,language,English,text,no,no,yes,no,no,3,0,0,3,1,1,1,1,today,
FELM,language,English,text,yes,no,no,no,no,1,0,0,3,3,1,1,2,today,
LVLM-eHub,language+visual,English,text+video,no,no,no,no,yes,8,0,0,65,9,6,,2,8//2023,
ImageNet,language+visual,English,text+video,no,no,yes,no,no,8,0,0,1223,,1,1,4,today,
LogiQA,language,English,text,no,no,yes,no,no,1,0,0,2,2,1,1,1,today,
