Leaderboard,Modality,Language,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Empty leaderboards by category,#Benchmark,#Metrics,Evalution harness,#Submission,#Model,#Scenario,Last update
TVQA,video,English,no,no,yes,no,no,1,0,1,1,,6,6,1,today
TyDiQA,text,"English,Arabic,Bengali,Finnish,Japanese,Indonesian,Kiswahili,Korean,Russian,Telugu,Thai",no,no,yes,no,no,2,0,1,3,,13,,3,today
UHGEval,text,English,yes,no,no,no,no,3,0,1,14,,33,11,7,today
Video-Bench,video,English,no,yes,no,no,no,1,0,13,1,,10,8,3,12/1/2023
VisDial,image,English,no,no,yes,no,no,1,0,1,1,,2,2,3,today
VNHSGE,text,English,no,no,yes,no,no,9,0,1,1,,19,3,1,today
VQA,image,English,no,no,yes,no,no,5,0,1,1,,115,,1,today
Whoops,image,English,no,no,yes,no,no,4,0,1,6,,23,,1,today
WiC,text,English,no,no,yes,no,no,1,0,1,1,,2,2,1,today
WikiEvents,text,English,no,no,yes,no,no,1,0,1,2,,4,4,6,today
WinoGrande,text,English,no,no,yes,yes,no,3,0,1,2,,95,,5,today
Winoground,image,English,no,no,yes,no,no,1,0,1,1,,8,8,3,today
WNLI,text,English,no,no,yes,no,no,2,0,1,1,,16,16,1,today
WQSP,text,English,no,no,yes,no,no,1,0,1,2,,21,21,1,today
WSC,text,English,no,no,yes,no,no,2,0,1,1,,14,,1,today
Xiezhi,text,"English,Chinese",yes,no,no,no,no,1,0,1,1,,106,47,12,today
XNLI,text,"English,French,Spanish,German,Greek,Bulgarian,Russian,Turkish,Arabic,Vietnamese,Thai,Chinese,Hindi,Swahili,Urdu",no,no,yes,no,no,1,0,1,1,,5,5,1,today
XSUM,text,English,no,no,yes,yes,no,2,0,1,9,,24,24,4,today
YouCook2,video,English,no,no,yes,no,no,2,0,1,10,,25,,2,today
